Whisky_ID,Brand,Name_KO,Name_EN,Category,Sweetness,Smoky,Price_Range,Batch_Identifier,ABV_Pct,Batch_Details,Expert_Ratings,Is_Recommended,image_url
GTS,Buffalo Trace,조지 T. 스태그,George T. Stagg,Bourbon,Sherry,Subtle,Rare,2025(추천),142.8 proof(71.4도),숙성기간: 15년 4개월,브레이킹버번: 4.5 | 위스키베이스: 89.8 | 프레드미닉 Top100: 1위 | 디스틸러: 4.69 / 91,True,assets/whisky_bottles/GTS.png
GTS,Buffalo Trace,조지 T. 스태그,George T. Stagg,Bourbon,Sherry,Subtle,Rare,2024(추천),136.1 proof(68.05도),숙성기간: 15년 2개월,브레이킹버번: 4.5 | 위스키베이스: 90.47 | 프레드미닉 Top100: 3위 | 위스키애드버킷: 92 | 디스틸러: 4.63,True,assets/whisky_bottles/GTS.png
GTS,Buffalo Trace,조지 T. 스태그,George T. Stagg,Bourbon,Sherry,Subtle,Rare,2023(추천),135.0 proof(67.5도),숙성기간: 15년 3개월,브레이킹버번: 4.0 | 위스키베이스: 90.48 | 프레드미닉 Top100: 15위 | 디스틸러: 4.68 / 95,True,assets/whisky_bottles/GTS.png
GTS,Buffalo Trace,조지 T. 스태그,George T. Stagg,Bourbon,Sherry,Subtle,Rare,2022((추천),138.7 proof(69.35도),숙성기간: 15년 5개월,브레이킹버번: 4.5 | 위스키베이스: 90.86 | 프레드미닉 Top100: 3위 | 디스틸러: 4.7,True,assets/whisky_bottles/GTS.png
GTS,Buffalo Trace,조지 T. 스태그,George T. Stagg,Bourbon,Sherry,Subtle,Rare,2021,미출시,숙성기간: 미출시,미출시,False,assets/whisky_bottles/GTS.png
GTS,Buffalo Trace,조지 T. 스태그,George T. Stagg,Bourbon,Sherry,Subtle,Rare,2020(추천),130.4 proof( 65.2도),숙성기간: 15년 4개월,브레이킹버번: 4.0 | 위스키베이스: 90.51 | 위스키애드버킷: 95 | 디스틸러: 4.65 / 96,True,assets/whisky_bottles/GTS.png
GTS,Buffalo Trace,조지 T. 스태그,George T. Stagg,Bourbon,Sherry,Subtle,Rare,2019(추천),116.9 proof(58.45도),숙성기간: 15년 3개월,위스키베이스: 89.89 | 위스키애드버킷: 94 | 디스틸러: 4.6 / 98,True,assets/whisky_bottles/GTS.png
GTS,Buffalo Trace,조지 T. 스태그,George T. Stagg,Bourbon,Sherry,Subtle,Rare,2018(추천),124.9 proof(62.45도),숙성기간: 15년 4개월,브레이킹버번: 4.5 | 위스키베이스: 90.18 | 위스키애드버킷: 95 | 디스틸러: 4.58 /93,True,assets/whisky_bottles/GTS.png
GTS,Buffalo Trace,조지 T. 스태그,George T. Stagg,Bourbon,Sherry,Subtle,Rare,2017,129.2 proof(64.6도),숙성기간: 15년 3개월,위스키베이스: 89.60 | 위스키애드버킷: 94 | 디스틸러: 4.66 / 94,False,assets/whisky_bottles/GTS.png
GTS,Buffalo Trace,조지 T. 스태그,George T. Stagg,Bourbon,Sherry,Subtle,Rare,2016,144.1 proof(72.05도),숙성기간: 15년 4개월,위스키베이스: 89.85 | 위스키애드버킷: 86 | 디스틸러: 4.51 / 93,False,assets/whisky_bottles/GTS.png
GTS,Buffalo Trace,조지 T. 스태그,George T. Stagg,Bourbon,Sherry,Subtle,Rare,2015,138.2 proof(69.1도),숙성기간: 15년 1개월,위스키베이스: 88.93 | 위스키애드버킷: 94 | 디스틸러: 4.59 / 91,False,assets/whisky_bottles/GTS.png
LITTLE_BOOK,Jim Beam,리틀 북,Little Book,Bourbon,Vanilla,Subtle,Rare,2025 Infinite Ed 2,120.4 proof (60.2도),22년+10년+7년 버번,브레이킹버번: 4.0,False,assets/whisky_bottles/LITTLE_BOOK.png
LITTLE_BOOK,Jim Beam,리틀 북,Little Book,Bourbon,Vanilla,Subtle,Rare,2025 챕터 9 'None For Granted',121.8 proof (60.9도),7~11년 버번 + 라이,브레이킹버번: 3.5 | 위스키베이스: 89.5 | 버번컬쳐: 7.7 | 위스키애드버킷: 94,True,assets/whisky_bottles/LITTLE_BOOK.png
LITTLE_BOOK,Jim Beam,리틀 북,Little Book,Bourbon,Vanilla,Subtle,Rare,2024 Infinite Ed 1,119.3 proof (59.65도),7~20년 버번,브레이킹버번: 3.5 | 위스키베이스: 90.25 | 버번컬쳐: 8.6 | 프레드미닉 Top100: 5위 | 위스키애드버킷: 94,True,assets/whisky_bottles/LITTLE_BOOK.png
LITTLE_BOOK,Jim Beam,리틀 북,Little Book,Bourbon,Vanilla,Subtle,Rare,2024 챕터 8 'Path Not Taken',118.2 proof (59.1도),4~18년 버번 + 라이 (24년 미국위스키 Top5),브레이킹버번: 4.0 | 위스키베이스: 90.08 | 버번컬쳐: 8.7 | 디스틸러: 91,True,assets/whisky_bottles/LITTLE_BOOK.png
LITTLE_BOOK,Jim Beam,리틀 북,Little Book,Bourbon,Vanilla,Subtle,Rare,2023 챕터 7 'The Retrospect',118.1 proof (59.05도),4~18년 버번 + 라이 (23년 미국위스키 Top5),브레이킹버번: 4.0 | 위스키베이스: 89.2 | 버번컬쳐: 8.1 | 위스키애드버킷: 95,True,assets/whisky_bottles/LITTLE_BOOK.png
RUSSELL_13,Wild Turkey,러셀 리저브 13년,Russell's Reserve 13 Year,Bourbon,Vanilla,None,Rare,배치1 (2021-04),114.8 proof (57.4도),고숙성(14~19년) 배럴 20% 이상 포함(추정),프레드미닉 최고의 위스키 | Rare Bird: 4.75 | 위스키베이스: 90.45,True,assets/whisky_bottles/RUSSELL_13.png
RUSSELL_13,Wild Turkey,러셀 리저브 13년,Russell's Reserve 13 Year,Bourbon,Vanilla,None,Rare,배치2 (2021-12),114.8 proof (57.4도),고숙성(14~19년) 배럴 10% 전후 포함(추정),"디스틸러: 전문가 89점, 소비자 4.35",True,assets/whisky_bottles/RUSSELL_13.png
RUSSELL_13,Wild Turkey,러셀 리저브 13년,Russell's Reserve 13 Year,Bourbon,Vanilla,None,Rare,배치3 (2022-05),114.8 proof (57.4도),고숙성 배럴 10% 전후 포함 | 20년 숙성 배럴 일부 사용,레딧 리뷰: 만점급 | 브레이킹버번: 4.5 | 디스틸러: 4.38,True,assets/whisky_bottles/RUSSELL_13.png
RUSSELL_13,Wild Turkey,러셀 리저브 13년,Russell's Reserve 13 Year,Bourbon,Vanilla,None,Rare,배치4 (2023-03),114.8 proof (57.4도),고숙성(14년 위주) 배럴 5% 전후 포함,디스틸러: 소비자 4.37,False,assets/whisky_bottles/RUSSELL_13.png
RUSSELL_13,Wild Turkey,러셀 리저브 13년,Russell's Reserve 13 Year,Bourbon,Vanilla,None,Rare,배치5 (2023-05),114.8 proof (57.4도),고숙성(14년 위주) 배럴 5% 전후 포함,위스키베이스: 89.8 | 디스틸러: 4.37,True,assets/whisky_bottles/RUSSELL_13.png
